Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Max Violations Committee,0.4,0.0,0.318496,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.341168,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.339888,0.4,0.4,0.4,0.4,0.386896,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Random Choice,0.31984,0.318496,0.0,0.319136,0.319136,0.31984,0.31984,0.31984,0.31984,0.31984,0.319136,0.31984,0.319136,0.319616,0.319136,0.31984,0.319296,0.31968,0.31968,0.31968,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319168,0.319136,0.319136,0.319136,0.319136,0.31904,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319072,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319136,0.319888,0.319136
Borda ranking,0.044,0.4,0.319136,0.0,0.0,0.044,0.044,0.044,0.044,0.044,0.0,0.044,0.0,0.327616,0.0,0.044,0.177888,0.178624,0.178624,0.178624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105904,0.0,0.0,0.0,0.0,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02176,0.0
Plurality ranking,0.044,0.4,0.319136,0.0,0.0,0.044,0.044,0.044,0.044,0.044,0.0,0.044,0.0,0.327616,0.0,0.044,0.177888,0.178624,0.178624,0.178624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105904,0.0,0.0,0.0,0.0,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02176,0.0
STV,0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Approval Voting (AV),0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Proportional Approval Voting (PAV),0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Approval Chamberlin-Courant (CC),0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Sequential Approval Chamberlin-Courant (seq-CC),0.044,0.4,0.319136,0.0,0.0,0.044,0.044,0.044,0.044,0.044,0.0,0.044,0.0,0.327616,0.0,0.044,0.177888,0.178624,0.178624,0.178624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105904,0.0,0.0,0.0,0.0,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02176,0.0
Monroe's Approval Rule (Monroe),0.0,0.4,0.31984,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.309712,0.044,0.0,0.178016,0.222624,0.222624,0.222624,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.141328,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.022064,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.02224,0.044
Greedy Monroe,0.044,0.4,0.319136,0.0,0.0,0.044,0.044,0.044,0.044,0.044,0.0,0.044,0.0,0.327616,0.0,0.044,0.177888,0.178624,0.178624,0.178624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105904,0.0,0.0,0.0,0.0,0.02632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02176,0.0
