Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.4,0.319472,0.002016,0.081504,0.060112,0.080592,0.080592,0.080592,0.080592,0.081504,0.080592,0.081504,0.317616,0.081504,0.080592,0.251136,0.268128,0.004976,0.002224,0.070512,0.001984,0.001712,0.020544,0.001984,0.001984,0.001984,0.001984,0.063776,0.001984,0.001984,0.000928,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001984,0.001136,0.001984,0.001984,0.001984,0.001984,0.000896,0.000896,0.001984,0.001936,0.000928,0.001712,0.001712,0.001984,0.001984,0.001104,0.001984,0.000928,0.001984,0.004928,0.175088,0.004704,0.001088,0.001104
Max Violations Committee,0.4,0.0,0.321728,0.399968,0.398,0.39872,0.398432,0.398432,0.398432,0.398432,0.398,0.398432,0.398,0.328224,0.398,0.398432,0.372976,0.38248,0.399888,0.399952,0.398144,0.4,0.4,0.399408,0.4,0.4,0.4,0.4,0.366096,0.4,0.4,0.4,0.4,0.399536,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.399856,0.399856,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.399888,0.392448,0.399936,0.4,0.4
Random Choice,0.319472,0.321728,0.0,0.319536,0.317392,0.318512,0.31824,0.31824,0.31824,0.31824,0.317392,0.31824,0.317392,0.319568,0.317392,0.31824,0.321344,0.319632,0.319376,0.319456,0.318432,0.319392,0.31936,0.318768,0.319392,0.319392,0.319392,0.319392,0.319888,0.319392,0.319392,0.319472,0.319392,0.319488,0.319392,0.319392,0.319392,0.319392,0.319392,0.319392,0.319392,0.319392,0.319392,0.319472,0.319392,0.319392,0.319456,0.319456,0.319504,0.319504,0.319392,0.319392,0.319472,0.31936,0.31936,0.319392,0.319392,0.31936,0.319392,0.319472,0.319392,0.319392,0.320064,0.319248,0.319376,0.31936
Borda ranking,0.002016,0.399968,0.319536,0.0,0.083136,0.061904,0.082288,0.082288,0.082288,0.082288,0.083136,0.082288,0.083136,0.317856,0.083136,0.082288,0.251488,0.267632,0.0036,0.000496,0.071088,0.002144,0.002352,0.020864,0.002144,0.002144,0.002144,0.002144,0.063872,0.002144,0.002144,0.001088,0.002144,0.002784,0.002144,0.002144,0.002144,0.002144,0.002144,0.002144,0.002144,0.002144,0.002144,0.001904,0.002144,0.002144,0.002672,0.002672,0.001248,0.001248,0.002144,0.002192,0.001088,0.002352,0.002352,0.002144,0.002144,0.002864,0.002144,0.001088,0.002144,0.003552,0.174256,0.00416,0.002848,0.002864
Plurality ranking,0.081504,0.398,0.317392,0.083136,0.0,0.064416,0.023184,0.023184,0.023184,0.023184,0.0,0.023184,0.0,0.323072,0.0,0.023184,0.245456,0.258848,0.082752,0.083632,0.06256,0.08128,0.081008,0.068112,0.08128,0.08128,0.08128,0.08128,0.126736,0.08128,0.08128,0.082176,0.08128,0.081936,0.08128,0.08128,0.08128,0.08128,0.08128,0.08128,0.08128,0.08128,0.08128,0.08152,0.08128,0.08128,0.081824,0.081824,0.082336,0.082336,0.08128,0.081232,0.082176,0.081008,0.081008,0.08128,0.08128,0.0804,0.08128,0.082176,0.08128,0.08272,0.17768,0.08008,0.080416,0.0804
STV,0.060112,0.39872,0.318512,0.061904,0.064416,0.0,0.062176,0.062176,0.062176,0.062176,0.064416,0.062176,0.064416,0.314544,0.064416,0.062176,0.24856,0.275168,0.06344,0.062336,0.01992,0.06152,0.061248,0.046016,0.06152,0.06152,0.06152,0.06152,0.112272,0.06152,0.06152,0.06088,0.06152,0.061712,0.06152,0.06152,0.06152,0.06152,0.06152,0.06152,0.06152,0.06152,0.06152,0.060992,0.06152,0.06152,0.061664,0.061664,0.061008,0.061008,0.06152,0.061472,0.06088,0.061248,0.061248,0.06152,0.06152,0.06064,0.06152,0.06088,0.06152,0.063408,0.187056,0.061904,0.060624,0.06064
Approval Voting (AV),0.080592,0.398432,0.31824,0.082288,0.023184,0.062176,0.0,0.0,0.0,0.0,0.023184,0.0,0.023184,0.31344,0.023184,0.0,0.24512,0.274496,0.081952,0.082784,0.063072,0.080432,0.08016,0.068448,0.080432,0.080432,0.080432,0.080432,0.1284,0.080432,0.080432,0.081296,0.080432,0.081056,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080608,0.080432,0.080432,0.08096,0.08096,0.081456,0.081456,0.080432,0.080384,0.081296,0.08016,0.08016,0.080432,0.080432,0.079552,0.080432,0.081296,0.080432,0.08192,0.194272,0.07928,0.079536,0.079552
Proportional Approval Voting (PAV),0.080592,0.398432,0.31824,0.082288,0.023184,0.062176,0.0,0.0,0.0,0.0,0.023184,0.0,0.023184,0.31344,0.023184,0.0,0.24512,0.274496,0.081952,0.082784,0.063072,0.080432,0.08016,0.068448,0.080432,0.080432,0.080432,0.080432,0.1284,0.080432,0.080432,0.081296,0.080432,0.081056,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080608,0.080432,0.080432,0.08096,0.08096,0.081456,0.081456,0.080432,0.080384,0.081296,0.08016,0.08016,0.080432,0.080432,0.079552,0.080432,0.081296,0.080432,0.08192,0.194272,0.07928,0.079536,0.079552
Approval Chamberlin-Courant (CC),0.080592,0.398432,0.31824,0.082288,0.023184,0.062176,0.0,0.0,0.0,0.0,0.023184,0.0,0.023184,0.31344,0.023184,0.0,0.24512,0.274496,0.081952,0.082784,0.063072,0.080432,0.08016,0.068448,0.080432,0.080432,0.080432,0.080432,0.1284,0.080432,0.080432,0.081296,0.080432,0.081056,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080608,0.080432,0.080432,0.08096,0.08096,0.081456,0.081456,0.080432,0.080384,0.081296,0.08016,0.08016,0.080432,0.080432,0.079552,0.080432,0.081296,0.080432,0.08192,0.194272,0.07928,0.079536,0.079552
Lexicographic Chamberlin-Courant (lex-CC),0.080592,0.398432,0.31824,0.082288,0.023184,0.062176,0.0,0.0,0.0,0.0,0.023184,0.0,0.023184,0.31344,0.023184,0.0,0.24512,0.274496,0.081952,0.082784,0.063072,0.080432,0.08016,0.068448,0.080432,0.080432,0.080432,0.080432,0.1284,0.080432,0.080432,0.081296,0.080432,0.081056,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080432,0.080608,0.080432,0.080432,0.08096,0.08096,0.081456,0.081456,0.080432,0.080384,0.081296,0.08016,0.08016,0.080432,0.080432,0.079552,0.080432,0.081296,0.080432,0.08192,0.194272,0.07928,0.079536,0.079552
