,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,0,1,0
Random Choice,0,0,0,211,0
Borda ranking,0,0,0,0,0
Plurality ranking,0,0,0,5,0
Approval Voting (AV),0,0,0,1,0
Proportional Approval Voting (PAV),0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,0,189,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,1,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,0,26,0
Monroe's Approval Rule (Monroe),0,0,0,189,0
Greedy Monroe,0,0,0,4,0
Minimax Approval Voting (MAV),0,0,0,189,0
