Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.022268276923076875,0.0014368000000000002,0.003512,0.02827799999999999,0.022268276923076875,0.0098052,0.0002672,0.0001036,0.0,0.0777708,0.0037188,0.004118,0.004229599999999999,0.06459759999999999,0.09165000000000001
Borda,0.02996738461538458,0.016952000000000002,0.016031999999999998,0.034592,0.02996738461538458,0.143696,0.0,0.06423999999999999,0.0,0.040064,0.00047200000000000003,0.00047200000000000003,0.00047200000000000003,0.031536,0.041048
EPH,0.03446461538461534,0.004496,0.0036639999999999997,8.000000000000001e-06,0.03446461538461534,0.127192,0.001536,0.0075120000000000004,0.0,0.10536799999999999,0.00020800000000000001,0.00020800000000000001,0.00020800000000000001,0.09081600000000001,0.106824
SNTV,0.1200664615384615,0.0,0.20437599999999997,0.21535200000000004,0.1200664615384615,0.541064,0.001752,0.31008,0.026632,0.139432,8.000000000000001e-06,0.058616,0.06318399999999999,0.0,0.000368
STV,0.038011076923076884,0.0,0.063288,0.075432,0.038011076923076884,0.26005599999999995,0.0002,0.093904,0.0,0.0,8.000000000000001e-06,0.000328,0.000432,0.0,0.0004960000000000001
Bloc,0.031892307692307637,0.001192,0.001304,0.0,0.031892307692307637,0.112536,0.001552,0.0,0.0,0.1026,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.087728,0.10588800000000001
CC,0.2135907692307692,0.146488,0.22892,0.2544,0.2135907692307692,0.60812,0.036407999999999996,0.335768,0.029664000000000003,0.382432,0.0,0.083176,0.09101600000000001,0.278064,0.302224
lex-CC,0.09703199999999998,0.07132799999999999,0.06925600000000001,0.0,0.09703199999999998,0.385216,0.001568,0.18037599999999998,0.0,0.21015999999999999,0.0,0.0,0.0,0.165912,0.1776
seq-CC,0.19925599999999996,0.13476800000000003,0.22039999999999998,0.206752,0.19925599999999996,0.593368,0.0332,0.330296,0.029416000000000005,0.361456,0.0,0.068592,0.07436000000000001,0.258864,0.27885600000000005
Monroe,0.10508492307692308,0.051784,0.099104,0.10127199999999999,0.10508492307692308,0.387752,0.023479999999999997,0.136248,0.0,0.20948799999999998,0.0,0.00052,0.00056,0.16764,0.188256
Greedy M.,0.05840861538461535,0.024007999999999998,0.031112,0.008168,0.05840861538461535,0.247384,0.003816,0.060944,0.0,0.13728800000000002,0.0,0.0,0.0,0.115984,0.130608
PAV,0.03906769230769226,0.008936000000000003,0.007520000000000001,0.0,0.03906769230769226,0.155024,0.00156,0.01792,0.0,0.11110400000000001,0.0,0.0,0.0,0.096168,0.10964800000000001
MES,0.04316984615384612,0.012239999999999997,0.012696000000000002,0.0002,0.04316984615384612,0.180512,0.001744,0.027288,0.0,0.11559199999999999,0.0,0.0,0.0,0.09973599999999999,0.11120000000000001
MAV,0.2175323076923077,0.21075999999999998,0.20812,0.231656,0.2175323076923077,0.700768,0.05888,0.38607199999999997,0.0,0.343816,0.021824,0.038656,0.038656,0.258552,0.33016
RSD,0.10353661538461534,0.079272,0.07924,0.0,0.10353661538461534,0.37363199999999996,0.026672,0.12076,0.0,0.19807999999999998,0.023224,0.032824000000000006,0.033024000000000005,0.16416,0.215088
Random,0.2873593846153846,0.268328,0.26441600000000004,0.368768,0.2873593846153846,0.749216,0.080528,0.42739199999999994,0.037872,0.42514399999999997,0.07058400000000001,0.150176,0.161088,0.322784,0.40937599999999996
